id,name,base_name,height_meter,weight_kg,hp,attack,defense,special_attack,special_defense,speed,type_1,type_2,is_legendary,is_mythical,normal,fighting,flying,poison,ground,rock,bug,ghost,steel,fire,water,grass,electric,psychic,ice,dragon,dark,fairy
35,clefairy,clefairy,0.6,7.5,70,45,48,60,65,35,fairy,,False,False,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
36,clefable,clefable,1.3,40.0,95,70,73,95,90,60,fairy,,False,False,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
37,vulpix,vulpix,0.6,9.9,38,41,40,50,65,65,fire,,False,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
38,ninetales,ninetales,1.1,19.9,73,76,75,81,100,100,fire,,False,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
39,jigglypuff,jigglypuff,0.5,5.5,115,45,20,45,25,20,normal,fairy,False,False,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
40,wigglytuff,wigglytuff,1.0,12.0,140,70,45,85,50,45,normal,fairy,False,False,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
41,zubat,zubat,0.8,7.5,40,45,35,30,40,55,poison,flying,False,False,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5
42,golbat,golbat,1.6,55.0,75,80,70,65,75,90,poison,flying,False,False,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5
43,oddish,oddish,0.5,5.4,45,50,55,75,65,30,grass,poison,False,False,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
44,gloom,gloom,0.8,8.6,60,65,70,85,75,40,grass,poison,False,False,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
45,vileplume,vileplume,1.2,18.6,75,80,85,110,90,50,grass,poison,False,False,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
46,paras,paras,0.3,5.4,35,70,55,45,55,25,bug,grass,False,False,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0
47,parasect,parasect,1.0,29.5,60,95,80,60,80,30,bug,grass,False,False,1.0,0.5,4.0,2.0,0.25,2.0,2.0,1.0,1.0,4.0,0.5,0.25,0.5,1.0,2.0,1.0,1.0,1.0
48,venonat,venonat,1.0,30.0,60,55,50,40,55,45,bug,poison,False,False,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
49,venomoth,venomoth,1.5,12.5,70,65,60,90,75,90,bug,poison,False,False,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
50,diglett,diglett,0.2,0.8,10,55,25,35,45,95,ground,,False,False,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
51,dugtrio,dugtrio,0.7,33.3,35,100,50,50,70,120,ground,,False,False,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
52,meowth,meowth,0.4,4.2,40,45,35,40,40,90,normal,,False,False,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,persian,persian,1.0,32.0,65,70,60,65,65,115,normal,,False,False,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,psyduck,psyduck,0.8,19.6,50,52,48,65,50,55,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
55,golduck,golduck,1.7,76.6,80,82,78,95,80,85,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
56,mankey,mankey,0.5,28.0,40,80,35,35,45,70,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
57,primeape,primeape,1.0,32.0,65,105,60,60,70,95,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
58,growlithe,growlithe,0.7,19.0,55,70,45,70,50,60,fire,,False,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
59,arcanine,arcanine,1.9,155.0,90,110,80,100,80,95,fire,,False,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
60,poliwag,poliwag,0.6,12.4,40,50,40,40,40,90,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
61,poliwhirl,poliwhirl,1.0,20.0,65,65,65,50,50,90,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
62,poliwrath,poliwrath,1.3,54.0,90,95,95,70,90,70,water,fighting,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,1.0,0.5,2.0
63,abra,abra,0.9,19.5,25,20,15,105,55,90,psychic,,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
64,kadabra,kadabra,1.3,56.5,40,35,30,120,70,105,psychic,,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
65,alakazam,alakazam,1.5,48.0,55,50,45,135,95,120,psychic,,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
66,machop,machop,0.8,19.5,70,80,50,35,35,35,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
67,machoke,machoke,1.5,70.5,80,100,70,50,60,45,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
68,machamp,machamp,1.6,130.0,90,130,80,65,85,55,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
69,bellsprout,bellsprout,0.7,4.0,50,75,35,70,30,40,grass,poison,False,False,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
70,weepinbell,weepinbell,1.0,6.4,65,90,50,85,45,55,grass,poison,False,False,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
71,victreebel,victreebel,1.7,15.5,80,105,65,100,70,70,grass,poison,False,False,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
72,tentacool,tentacool,0.9,45.5,40,40,35,50,100,70,water,poison,False,False,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5
73,tentacruel,tentacruel,1.6,55.0,80,70,65,80,120,100,water,poison,False,False,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,0.5
74,geodude,geodude,0.4,20.0,40,80,100,30,30,20,rock,ground,False,False,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
75,graveler,graveler,1.0,105.0,55,95,115,45,45,35,rock,ground,False,False,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
76,golem,golem,1.4,300.0,80,120,130,55,65,45,rock,ground,False,False,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
77,ponyta,ponyta,1.0,30.0,50,85,55,65,65,90,fire,,False,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
78,rapidash,rapidash,1.7,95.0,65,100,70,80,80,105,fire,,False,False,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
79,slowpoke,slowpoke,1.2,36.0,90,65,65,40,40,15,water,psychic,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0
80,slowbro,slowbro,1.6,78.5,95,75,110,100,80,30,water,psychic,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0
81,magnemite,magnemite,0.3,6.0,25,35,70,95,55,45,electric,steel,False,False,0.5,2.0,0.25,0.0,4.0,0.5,0.5,1.0,0.25,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5
82,magneton,magneton,1.0,60.0,50,60,95,120,70,70,electric,steel,False,False,0.5,2.0,0.25,0.0,4.0,0.5,0.5,1.0,0.25,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5
83,farfetchd,farfetchd,0.8,15.0,52,90,55,58,62,60,normal,flying,False,False,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
84,doduo,doduo,1.4,39.2,35,85,45,35,35,75,normal,flying,False,False,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
85,dodrio,dodrio,1.8,85.2,60,110,70,60,60,110,normal,flying,False,False,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
86,seel,seel,1.1,90.0,65,45,55,45,70,45,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
87,dewgong,dewgong,1.7,120.0,90,70,80,70,95,70,water,ice,False,False,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,1.0,1.0,1.0
88,grimer,grimer,0.9,30.0,80,80,50,40,50,25,poison,,False,False,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
89,muk,muk,1.2,30.0,105,105,75,65,100,50,poison,,False,False,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
90,shellder,shellder,0.3,4.0,30,65,100,45,25,40,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
91,cloyster,cloyster,1.5,132.5,50,95,180,85,45,70,water,ice,False,False,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,1.0,1.0,1.0
92,gastly,gastly,1.3,0.1,30,35,30,100,35,80,ghost,poison,False,False,0.0,0.0,1.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5
93,haunter,haunter,1.6,0.1,45,50,45,115,55,95,ghost,poison,False,False,0.0,0.0,1.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5
94,gengar,gengar,1.5,40.5,60,65,60,130,75,110,ghost,poison,False,False,0.0,0.0,1.0,0.25,2.0,1.0,0.25,2.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5
95,onix,onix,8.8,210.0,35,45,160,30,45,70,rock,ground,False,False,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
96,drowzee,drowzee,1.0,32.4,60,48,45,43,90,42,psychic,,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
97,hypno,hypno,1.6,75.6,85,73,70,73,115,67,psychic,,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
98,krabby,krabby,0.4,6.5,30,105,90,25,25,50,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
99,kingler,kingler,1.3,60.0,55,130,115,50,50,75,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
100,voltorb,voltorb,0.5,10.4,40,30,50,55,55,100,electric,,False,False,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
101,electrode,electrode,1.2,66.6,60,50,70,80,80,150,electric,,False,False,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
102,exeggcute,exeggcute,0.4,2.5,60,40,80,60,45,40,grass,psychic,False,False,1.0,0.5,2.0,2.0,0.5,1.0,4.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,1.0
103,exeggutor,exeggutor,2.0,120.0,95,95,85,125,75,55,grass,psychic,False,False,1.0,0.5,2.0,2.0,0.5,1.0,4.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,1.0,2.0,1.0
104,cubone,cubone,0.4,6.5,50,50,95,40,50,35,ground,,False,False,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
105,marowak,marowak,1.0,45.0,60,80,110,50,80,45,ground,,False,False,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
106,hitmonlee,hitmonlee,1.5,49.8,50,120,53,35,110,87,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
107,hitmonchan,hitmonchan,1.4,50.2,50,105,79,35,110,76,fighting,,False,False,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
108,lickitung,lickitung,1.2,65.5,90,55,75,60,75,30,normal,,False,False,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
109,koffing,koffing,0.6,1.0,40,65,95,60,45,35,poison,,False,False,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
110,weezing,weezing,1.2,9.5,65,90,120,85,70,60,poison,,False,False,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
111,rhyhorn,rhyhorn,1.0,115.0,80,85,95,30,30,25,ground,rock,False,False,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
112,rhydon,rhydon,1.9,120.0,105,130,120,45,45,40,ground,rock,False,False,0.5,2.0,0.5,0.25,2.0,0.5,1.0,1.0,2.0,0.5,4.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
113,chansey,chansey,1.1,34.6,250,5,5,35,105,50,normal,,False,False,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
114,tangela,tangela,1.0,35.0,65,55,115,100,40,60,grass,,False,False,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
115,kangaskhan,kangaskhan,2.2,80.0,105,95,80,40,80,90,normal,,False,False,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
116,horsea,horsea,0.4,8.0,30,40,70,70,25,60,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
117,seadra,seadra,1.2,25.0,55,65,95,95,45,85,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
118,goldeen,goldeen,0.6,15.0,45,67,60,35,50,63,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
119,seaking,seaking,1.3,39.0,80,92,65,65,80,68,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
120,staryu,staryu,0.8,34.5,30,45,55,70,55,85,water,,False,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
121,starmie,starmie,1.1,80.0,60,75,85,100,85,115,water,psychic,False,False,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,2.0,2.0,0.5,0.5,1.0,2.0,1.0
122,mr-mime,mr-mime,1.3,54.5,40,45,65,100,120,90,psychic,fairy,False,False,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
